Song,Artist,Compound,Negative,Neutral,Positive,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
"Andante, Andante",ABBA,0.9877,0.0,0.85,0.15,58,False,0.523,0.361,10,-10.718,1,0.0238,0.684,0.000348,0.0671,0.38,101.887,swedish
Bang,ABBA,0.9971,0.025,0.647,0.327,13,False,0.726,0.943,0,-4.48,1,0.0671,0.00234,0.0839,0.196,0.51,128.025,breakbeat
Cassandra,ABBA,-0.9956,0.222,0.712,0.067,22,False,0.144,0.987,0,-4.283,1,0.179,9.11e-05,0.28,0.348,0.399,177.502,goth
Chiquitita,ABBA,-0.964,0.161,0.743,0.096,46,False,0.715,0.556,9,-6.102,1,0.0453,0.667,0.0,0.132,0.902,87.973,afrobeat
Crying Over You,ABBA,0.6904,0.032,0.89,0.078,13,False,0.672,0.559,2,-12.426,0,0.0349,0.0462,0.000466,0.102,0.512,109.99,chicago-house
Dance,ABBA,-0.938,0.12,0.801,0.079,7,False,0.866,0.715,10,-11.844,0,0.0806,0.00472,0.00381,0.0449,0.807,120.353,chicago-house
Dancing Queen,ABBA,0.836,0.026,0.906,0.068,0,True,0.908,0.559,11,-6.329,1,0.333,0.00656,0.0,0.234,0.616,143.993,alternative
Does Your Mother Know,ABBA,0.9974,0.027,0.731,0.242,60,False,0.703,0.824,7,-5.17,1,0.0364,0.0504,9.19e-05,0.097,0.971,135.24,swedish
Fernando,ABBA,0.9493,0.098,0.753,0.149,68,False,0.354,0.535,9,-8.876,1,0.0303,0.627,2.9e-06,0.0808,0.434,110.821,swedish
Happy New Year,ABBA,0.9962,0.072,0.664,0.263,47,False,0.691,0.935,2,-2.791,1,0.431,0.284,0.0,0.132,0.71,118.694,k-pop
Head Over Heels,ABBA,0.8853,0.065,0.828,0.107,1,False,0.602,0.839,4,-4.251,0,0.0255,0.502,0.00118,0.095,0.653,95.16,synth-pop
"Honey, Honey",ABBA,0.9199,0.066,0.805,0.13,64,False,0.474,0.804,5,-7.763,1,0.0473,0.309,1.81e-06,0.552,0.757,140.507,swedish
I Have A Dream,ABBA,0.9623,0.047,0.772,0.181,64,False,0.549,0.374,10,-12.049,1,0.0244,0.6,0.0,0.178,0.439,104.311,swedish
Just A Notion,ABBA,0.8305,0.032,0.846,0.122,58,False,0.584,0.795,0,-5.705,1,0.0287,0.259,0.000361,0.302,0.83,131.997,swedish
Lay All Your Love On Me,ABBA,0.9958,0.095,0.614,0.291,74,False,0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481,swedish
Lovelight,ABBA,0.9882,0.059,0.788,0.154,8,False,0.73,0.691,8,-12.89,1,0.0378,0.0872,0.0278,0.122,0.93,124.196,detroit-techno
Lovers,ABBA,0.9977,0.023,0.66,0.317,59,False,0.554,0.486,8,-8.856,1,0.0403,0.458,0.00737,0.136,0.422,94.984,electro
Mamma Mia,ABBA,-0.9511,0.148,0.802,0.05,1,False,0.739,0.806,2,-5.723,1,0.0309,0.255,0.000176,0.442,0.807,137.524,swedish
Merry-Go-Round,ABBA,0.9989,0.072,0.556,0.372,56,False,0.591,0.914,5,-5.617,0,0.0737,0.00267,0.0,0.0801,0.451,119.971,anime
Move On,ABBA,0.987,0.02,0.888,0.092,50,False,0.778,0.502,4,-10.358,0,0.0285,0.383,0.000506,0.0944,0.319,97.04,deep-house
One Of Us,ABBA,-0.6661,0.146,0.706,0.148,0,False,0.223,0.557,9,-5.133,1,0.0332,0.0233,1e-06,0.149,0.335,175.926,singer-songwriter
Our Last Summer,ABBA,0.9916,0.072,0.721,0.207,61,False,0.504,0.528,2,-7.889,1,0.0244,0.72,6.28e-05,0.432,0.414,98.341,swedish
Slipping Through My Fingers,ABBA,0.9863,0.037,0.785,0.178,70,False,0.475,0.26,5,-15.997,1,0.0322,0.796,0.0016,0.109,0.339,137.212,swedish
So Long,ABBA,-0.827,0.056,0.931,0.013,51,True,0.781,0.563,5,-6.106,0,0.0641,0.0687,0.0,0.113,0.581,113.276,sad
Soldiers,ABBA,0.9335,0.033,0.882,0.085,64,False,0.592,0.877,2,-4.05,0,0.0502,0.0095,0.000171,0.131,0.712,117.106,grunge
SOS,ABBA,-0.9791,0.194,0.783,0.023,0,False,0.802,0.645,5,-6.181,0,0.0714,0.272,0.0,0.119,0.376,100.001,dance
Take A Chance On Me,ABBA,0.9988,0.052,0.699,0.249,74,False,0.684,0.675,11,-8.123,1,0.0257,0.163,0.0,0.242,0.924,107.064,swedish
Thank You For The Music,ABBA,0.999,0.009,0.653,0.338,63,False,0.283,0.417,4,-9.124,1,0.0404,0.835,0.0,0.102,0.373,201.145,swedish
That's Me,ABBA,0.9739,0.075,0.737,0.188,8,False,0.902,0.879,7,-10.577,0,0.0671,0.00885,0.836,0.118,0.61,122.084,detroit-techno
The Winner Takes It All,ABBA,0.9746,0.148,0.642,0.209,3,False,0.429,0.789,6,-6.446,1,0.0346,0.226,0.00568,0.0474,0.467,125.613,swedish
Tiger,ABBA,-0.828,0.105,0.811,0.083,20,True,0.45,0.906,4,-7.181,1,0.947,0.835,0.0,0.855,0.262,82.437,comedy
Waterloo,ABBA,0.9689,0.177,0.571,0.252,2,False,0.409,0.946,2,-2.878,1,0.0551,0.235,3.45e-05,0.353,0.707,147.094,swedish
We Wish You A Merry Christmas,ABBA,0.9979,0.0,0.582,0.418,0,False,0.387,0.786,11,-4.127,1,0.0436,0.0195,0.0,0.123,0.462,149.806,alt-rock
When I Kissed The Teacher,ABBA,0.9992,0.032,0.562,0.406,61,False,0.527,0.939,3,-5.795,1,0.0442,0.519,6.13e-05,0.06,0.714,153.755,swedish
Don't Stop,Ace Of Base,0.9952,0.057,0.709,0.234,5,False,0.568,0.907,2,-5.239,1,0.0398,0.000307,0.906,0.398,0.763,122.976,chicago-house
Perfect World,Ace Of Base,0.9885,0.039,0.736,0.225,5,False,0.806,0.838,1,-6.7,0,0.0477,0.00376,0.867,0.05,0.89,122.6,chicago-house
Who Am I,Ace Of Base,0.9815,0.053,0.764,0.183,65,False,0.545,0.472,11,-7.552,1,0.0279,0.434,0.0,0.0684,0.193,134.027,alt-rock
All I Ask,Adele,0.9829,0.096,0.711,0.193,74,False,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,british
Crazy For You,Adele,-0.8585,0.171,0.712,0.117,52,False,0.707,0.139,7,-12.3,1,0.0507,0.91,0.0,0.105,0.323,85.868,british
