Song,Artist,Compound,Negitive,Neutral,Positive

Ahe's My Kind Of Girl,ABBA,0.9587,0.0,0.875,0.125
"Andante, Andante",ABBA,0.9877,0.0,0.85,0.15
As Good As New,ABBA,0.9986,0.029,0.662,0.309
Bang,ABBA,0.9971,0.025,0.647,0.327
Bang-A-Boomerang,ABBA,0.9974,0.025,0.629,0.346
Burning My Bridges,ABBA,-0.9382,0.225,0.687,0.088
Cassandra,ABBA,-0.9956,0.222,0.712,0.067
Chiquitita,ABBA,-0.964,0.161,0.743,0.096
Crazy World,ABBA,-0.2324,0.095,0.847,0.058
Crying Over You,ABBA,0.6904,0.032,0.89,0.078
Dance,ABBA,-0.938,0.12,0.801,0.079
Dancing Queen,ABBA,0.836,0.026,0.906,0.068
Disillusion,ABBA,-0.964,0.207,0.715,0.078
Does Your Mother Know,ABBA,0.9974,0.027,0.731,0.242
Dream World,ABBA,0.9785,0.037,0.831,0.132
Dum Dum Diddle,ABBA,-0.9941,0.277,0.581,0.143
Eagle,ABBA,0.9809,0.023,0.807,0.17
Every Good Man,ABBA,0.9902,0.108,0.592,0.3
Fernando,ABBA,0.9493,0.098,0.753,0.149
Fernando (In Spanish),ABBA,-0.5859,0.037,0.951,0.013
Free As A Bumble Bee,ABBA,0.3515,0.162,0.646,0.192
From A Twinkling Star To A Passing Angel,ABBA,0.9584,0.095,0.763,0.142
Gimme Gimme Gimme,ABBA,-0.9553,0.118,0.845,0.037
Givin' A Little Bit More,ABBA,-0.7487,0.05,0.937,0.012
Gonna Sing You My Lovesong,ABBA,0.9973,0.044,0.693,0.263
Hamlet III,ABBA,-0.7406,0.141,0.774,0.085
Happy Hawaii,ABBA,0.9963,0.043,0.651,0.306
Happy New Year,ABBA,0.9962,0.072,0.664,0.263
He Is Your Brother,ABBA,0.9984,0.048,0.608,0.344
Head Over Heels,ABBA,0.8853,0.065,0.828,0.107
Here We'll Stay,ABBA,0.9973,0.016,0.763,0.221
Hey Hey Helen,ABBA,0.6408,0.084,0.818,0.098
Hole In Your Soul,ABBA,-0.4118,0.108,0.78,0.111
"Honey, Honey",ABBA,0.9199,0.066,0.805,0.13
I Am Just A Girl,ABBA,0.9978,0.037,0.655,0.308
I Am The City,ABBA,0.9918,0.034,0.856,0.11
"I Do, I Do, I Do, I Do, I Do",ABBA,0.9918,0.053,0.707,0.24
I Have A Dream,ABBA,0.9623,0.047,0.772,0.181
I Let The Music Speak,ABBA,0.4114,0.142,0.708,0.15
I Saw It In The Mirror,ABBA,-0.9887,0.259,0.671,0.07
I Wonder (Departure),ABBA,0.9743,0.151,0.564,0.285
I Wonder (Departure) [Live],ABBA,0.9824,0.144,0.56,0.296
If It Wasn't For The Nights,ABBA,-0.9136,0.089,0.856,0.055
I'm A Marionette,ABBA,0.9693,0.049,0.794,0.157
I've Been Waiting For You,ABBA,0.9943,0.037,0.693,0.27
Juper Jrouper,ABBA,0.9983,0.076,0.659,0.265
Just A Notion,ABBA,0.8305,0.032,0.846,0.122
King Kong Song,ABBA,0.1267,0.118,0.743,0.139
Kisses Of Fire,ABBA,0.9939,0.157,0.572,0.271
Knowing Me Knowing You,ABBA,0.837,0.077,0.825,0.098
